"Team","Bye Week","Consensus","Andy","Jason","Mike"
"Chicago Bears","6","1","1","1","1"
"Jacksonville Jaguars","10","2","2","5","2"
"Baltimore Ravens","8","3","5","3","4"
"Los Angeles Rams","9","4","3","2","7"
"Minnesota Vikings","12","5","4","8","3"
"Houston Texans","10","6","6","4","8"
"Los Angeles Chargers","12","7","8","6","6"
"Cleveland Browns","7","8","7","15","5"
"New England Patriots","10","9","12","7","10"
"New Orleans Saints","9","10","9","14","9"
"Seattle Seahawks","11","11","13","9","12"
"Denver Broncos","10","12","10","12","13"
"Buffalo Bills","6","13","11","16","11"
"Philadelphia Eagles","10","14","15","10","14"
"Dallas Cowboys","8","15","14","17","15"
"Indianapolis Colts","6","16","18","13","16"
"Pittsburgh Steelers","7","17","16","22","17"
"Tennessee Titans","11","18","17","21","18"
"Carolina Panthers","7","19","22","18","19"
"Atlanta Falcons","9","20","21","19","20"
"Green Bay Packers","11","21","20","20","22"
"New York Jets","4","22","28","23","21"
"Kansas City Chiefs","12","23","19","30","23"
"Arizona Cardinals","12","24","23","24","27"
"Oakland Raiders","6","25","24","28","24"
"San Francisco 49ers","4","26","25","26","26"
"Washington Redskins","10","27","27","27","28"
"New York Giants","11","28","30","29","25"
"Detroit Lions","5","29","31","25","30"
"Tampa Bay Buccaneers","7","30","26","30","32"
"Miami Dolphins","5","31","29","31","31"
"Cincinnati Bengals","9","32","32","32","29"